direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2021/03/03,48594.06,2021/03/03,49105.47,511.4100000000035,1.0524125788213692,1.0105241257882136,5.000000000000003,,0.21048251576427374,1,exit-rule,46164.356999999996,,
long,2021/04/03,49574.89,2021/04/03,49664.4,89.51000000000204,0.180555115704749,1.0018055511570474,5.000000000000002,,0.036111023140949786,1,exit-rule,47096.1455,,
long,2021/04/03,49701.37,2021/05/03,47216.3015,-2485.068500000001,-5.000000000000003,0.95,5.000000000000003,,-1,15,stop-loss,47216.3015,,
long,2021/05/03,46709.95,2021/05/03,49285.76,2575.810000000005,5.514478178632187,1.0551447817863218,4.999999999999996,,1.1028956357264383,17,exit-rule,44374.4525,,
long,2021/06/03,48035.37,2021/06/03,48250.7,215.32999999999447,0.4482738448772112,1.004482738448772,4.9999999999999964,,0.08965476897544232,6,exit-rule,45633.601500000004,,
long,2021/08/03,50274.76,2021/08/03,49880.49,-394.2700000000041,-0.784230496575228,0.9921576950342477,4.999999999999995,,-0.15684609931504576,1,exit-rule,47761.022000000004,,
long,2021/08/03,50061.01,2021/08/03,50274.58,213.5699999999997,0.42661943896057974,1.0042661943896058,4.999999999999995,,0.08532388779211603,1,exit-rule,47557.959500000004,,
long,2021/10/03,53468.33,2021/10/03,53651.38,183.04999999999563,0.3423521924099661,1.0034235219240997,4.999999999999999,,0.06847043848199325,1,exit-rule,50794.9135,,
long,2021/11/03,55275.32,2021/11/03,55034.21,-241.11000000000058,-0.43619828885658296,0.9956380171114342,5.000000000000006,,-0.0872396577713165,1,exit-rule,52511.554,,
long,2021/11/03,54474.27,2021/11/03,56233.42,1759.1500000000015,3.229322761002583,1.0322932276100258,4.9999999999999964,,0.645864552200517,1,exit-rule,51750.5565,,
long,2021/12/03,56506.71,2021/12/03,56715.97,209.26000000000204,0.37032770090490497,1.003703277009049,5.000000000000002,,0.07406554018098097,1,exit-rule,53681.3745,,
