date,open,high,low,close,volume,quoteVolume
"17/03/2021, 11:00:00",55784.11000000,55871.05000000,54326.27000000,54762.77000000,4958.34282200,272971874.23444566
"17/03/2021, 12:00:00",54763.59000000,55234.88000000,54600.00000000,55088.89000000,2354.37472200,129491352.51325751
"17/03/2021, 13:00:00",55088.90000000,55200.00000000,54569.99000000,54840.00000000,2315.50151700,127134285.80518269
"17/03/2021, 14:00:00",54840.01000000,55413.63000000,54123.69000000,55151.01000000,3929.96578900,215310490.77771350
"17/03/2021, 15:00:00",55151.01000000,55406.79000000,54711.60000000,55105.41000000,3060.90680800,168599299.64973796
"17/03/2021, 16:00:00",55108.44000000,55152.48000000,54524.65000000,54548.97000000,2732.54603100,149859158.26320678
"17/03/2021, 17:00:00",54547.57000000,55244.03000000,54298.18000000,54930.00000000,3582.18486800,196551207.33039579
"17/03/2021, 18:00:00",54930.00000000,55600.27000000,54740.00000000,55275.08000000,2677.39676100,147973226.98216747
"17/03/2021, 19:00:00",55275.08000000,55659.93000000,55162.60000000,55542.50000000,1783.07855900,98799496.44741874
"17/03/2021, 20:00:00",55542.50000000,57576.28000000,55542.50000000,57575.51000000,6667.37098400,378321072.89441844
"17/03/2021, 21:00:00",57575.51000000,58201.58000000,57329.44000000,57867.42000000,5960.95180800,344434829.14549266
"17/03/2021, 22:00:00",57867.42000000,58333.00000000,57709.04000000,57715.19000000,3384.95866500,196329088.70543287
"17/03/2021, 23:00:00",57710.93000000,58732.08000000,57601.92000000,58427.49000000,3200.25526600,186219950.72705665
"18/03/2021, 00:00:00",58427.49000000,58940.00000000,58234.33000000,58284.41000000,3296.26553800,193172893.75094541
"18/03/2021, 01:00:00",58299.98000000,58974.73000000,58236.00000000,58912.97000000,2438.75097100,142923166.84018515
"18/03/2021, 02:00:00",58912.97000000,59561.54000000,58709.03000000,58927.54000000,4549.11801800,269144816.40752417
"18/03/2021, 03:00:00",58927.53000000,59326.93000000,58758.01000000,59043.14000000,2078.67188300,122755934.65744768
"18/03/2021, 04:00:00",59043.13000000,59300.00000000,58908.00000000,58996.77000000,1879.60094200,111172999.55449290
"18/03/2021, 05:00:00",58999.17000000,59058.33000000,58606.10000000,58712.33000000,1790.19748100,105284148.20737737
"18/03/2021, 06:00:00",58712.34000000,59200.00000000,58623.85000000,58800.01000000,1944.10750100,114428946.48940695
"18/03/2021, 07:00:00",58800.01000000,59183.96000000,58651.00000000,58957.44000000,1825.78964000,107606654.08827600
"18/03/2021, 08:00:00",58957.43000000,59070.00000000,58650.01000000,58910.00000000,2056.93352100,121023138.80481180
"18/03/2021, 09:00:00",58909.99000000,58926.26000000,58119.00000000,58355.15000000,3028.61646600,177130313.04424154
"18/03/2021, 10:00:00",58355.14000000,58525.83000000,57899.00000000,58007.11000000,2413.16618300,140565936.73101818
"18/03/2021, 11:00:00",58007.11000000,58475.01000000,57936.22000000,58399.98000000,2245.14676100,130759852.31288753
"18/03/2021, 12:00:00",58399.98000000,58660.00000000,58221.05000000,58520.25000000,1746.54181800,102079058.46371358
"18/03/2021, 13:00:00",58520.24000000,58550.00000000,57870.38000000,58170.37000000,2116.02090500,123129919.35665675
"18/03/2021, 14:00:00",58168.69000000,58187.11000000,57586.31000000,58051.31000000,3297.48134200,190832667.23974137
"18/03/2021, 15:00:00",58051.31000000,58188.85000000,57777.00000000,57846.31000000,1998.12233000,115885895.93320046
"18/03/2021, 16:00:00",57846.31000000,58037.35000000,57500.00000000,57863.14000000,2429.21171200,140366667.47553594
"18/03/2021, 17:00:00",57863.13000000,59637.39000000,57700.00000000,59533.68000000,5520.69352300,324789182.97982674
"18/03/2021, 18:00:00",59533.67000000,60129.97000000,59037.15000000,59080.61000000,7435.16430300,443802273.70528617
"18/03/2021, 19:00:00",59074.61000000,59480.00000000,59073.40000000,59250.81000000,2837.01594900,168260289.73092714
"18/03/2021, 20:00:00",59250.81000000,59310.13000000,58000.10000000,58221.01000000,3740.43498100,219147368.77852779
"18/03/2021, 21:00:00",58221.02000000,58416.56000000,57200.00000000,57293.79000000,3699.02170400,213974977.63845645
